run_time_s,timestamp,config,num_users,actual_rpm,avg_response_time_ms,total_cpu,total_mem,Config from FM,Agg,GB1,GB2,Inven1,Inven2,Rev1,Rev2,Recom1,Recom2,Adv
60.0,2025-06-07 13:24:35,1,30,186,7982.23,0.01,2457751552.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
120.3,2025-06-07 13:25:35,1,28,302,5558.31,0.92,2909790208.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
180.5,2025-06-07 13:26:35,1,18,322,4322.16,1.17,2519105536.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
240.7,2025-06-07 13:27:36,1,18,275,3846.96,0.63,2521092096.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
300.8,2025-06-07 13:28:36,1,20,264,3552.39,0.8,2522775552.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
361.0,2025-06-07 13:29:36,1,20,320,3307.67,0.48,2523369472.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
421.2,2025-06-07 13:30:36,1,20,317,3145.39,0.43,2523656192.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
481.3,2025-06-07 13:31:36,1,15,306,3041.82,0.51,2523766784.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
541.6,2025-06-07 13:32:37,1,14,233,2978.51,0.69,2524377088.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
601.8,2025-06-07 13:33:37,1,16,218,2922.73,0.44,2501095424.0,"1 = [Review, Recom1, Inven1, Rev1, Recom, BookInfo, GB1, Inven, Adv,Agg, GB]",1,1,0,1,0,1,0,1,0,1
